Num_Registre,Nom,Responsable,Adreca,Telefon,Email,Barri,Districte_Govern,Desactualitzat,Seccio,Grup,ubicacio_location_lat,ubicacio_location_lng,CODI_ENS,NOM_ENS
11.0,Club Natació Tàrraco,Alejandro Jerez Rodríguez,"Passeig Torroja, núm. 86 43007 Tarragona",977232084 - 977211380,gerencia@cntarraco.cat,CENTRE TARRAGONA,Llevant,No,Esportives,Clubs Esportius,41.1191714,1.2614218,4314820002,AJUNTAMENT DE TARRAGONA
23.0,ASTAFANIAS,Xavier de Manuel,"CR DE LES COQUES,1-C 2N 43003 TARRAGONA",977235835 - 616393738,astafanias@tinet.org,PART ALTA,Centre,Sí,Socials,Suport a discapacitats,41.1185428,1.258456,4314820002,AJUNTAMENT DE TARRAGONA
29.0,Centro Gallego de Tarragona,José Lago Alonso,"Passeig Torroja, núm. 28 43007 Tarragona",977221688 - 651592645,conchisaune@telefonica.net,PART ALTA,Llevant,No,Comunitàries / Cíviques,Centres i Cases Regionals,41.1192468,1.261368,4314820002,AJUNTAMENT DE TARRAGONA
91.0,"AV C. Merceria, Pl. Fòrum, Baixada Patriarca, Pl. Les Cols i voltants",José López García,"Portal de St. Antoni, s/n, baixos 43003 Tarragona",,veinscarrermerceria@hotmail.com,PART ALTA,Centre,No,Comunitàries / Cíviques,Associacions de Veïns,41.1169666,1.2595505,4314820002,AJUNTAMENT DE TARRAGONA
105.0,Col.legi d'Arquitectes de Catalunya-Demarcació de Tarragona,Jordi J. Romera Cid,"CR de Sant Llorenç, núm. 20-22 43003 Tarragona",977249367,tarragona@coac.net,PART ALTA,Centre,No,"Econòmiques, Ocupacionals i Sindicals",Col·legis Professionals,41.1190597,1.2593618,4314820002,AJUNTAMENT DE TARRAGONA
194.0,Associació Cultural del Gremi de Pagesos de Sant Llorenç i Sant Isidre,Raül Font-Quer Plana,"C/ de l'Arc de Sant Llorenç, núm. 7 43003 Tarragona",977242967,administracio@gremidepagesos.cat,PART ALTA,Centre,No,Culturals,Altres entitats culturals,41.1193605,1.2594104,4314820002,AJUNTAMENT DE TARRAGONA
204.0,AMPA Col·legi Lestonnac-L'Ensenyança,Josep Ma Galià Tejerina,"C/ Arc de Sant Llorenç, 2  43003 Tarragona",977232519,ampalestonnac@tinet.org,PART ALTA,Centre,Sí,"Estudis, Formació i Recerca",Associacions de Mares i Pares,41.1198691,1.2594333,4314820002,AJUNTAMENT DE TARRAGONA
222.0,Reial Societat Arqueològica Tarraconense,Joan Vianney Maria Arbeloa Rigau,"CR. Major, núm. 35, 1er. 43003 Tarragona",977233789 - 977239307,informacio@arqueologica.org,PART ALTA,,Sí,Culturals,Promoció i difusió Patrimoni Cultural,41.1179815,1.2574283,4314820002,AJUNTAMENT DE TARRAGONA
237.0,AV del Barri del Miracle de Tarragona,Maria del Claustre Llasera Hernández,"Via Augusta, núm. 43 43003 Tarragona",,,MIRACLE (EL),Llevant,No,Comunitàries / Cíviques,Associacions de Veïns,41.1162498,1.261078,4314820002,AJUNTAMENT DE TARRAGONA
244.0,COL.LECTIU DE DONES CASC ANTIC, ,"PUIG D'EN SITGES, 17, BAIXOS,ESQUE. 43003 TARRAGONA",977237491,,PART ALTA,Centre,No,Comunitàries / Cíviques,Dones,41.1188633,1.2607489,4314820002,AJUNTAMENT DE TARRAGONA
276.0,Ball de Bastons de Tarragona,Lidia Gil Recasens,"C/ Santes Creus, 7, local 1  43003 Tarragona",697718060,balldebastonstarragona@gmail.com,PART ALTA,Centre,No,Culturals,Seguici popular i tradicions locals,41.1185778,1.2597369,4314820002,AJUNTAMENT DE TARRAGONA
299.0,Club Montsant de Curses d'Orientació,Nicolas Corgnet,"C/ Pi i Maragall, núm. 32, 4art. 1a. 43007 Tarragona",681369495,info@clubmontsant.org,,Centre,No,Esportives,Entitats esportives,41.1173,1.25964,4314820002,AJUNTAMENT DE TARRAGONA
312.0,AGRUPAMENT ESCOLTA I GUIA FENT CAMÍ,NATÀLIA BRU BUDESCA,CR DEL PUIG D'EN PALLARS 43003 TARRAGONA,690091551,webfentcami@gmail.com,PART ALTA,Centre,Sí,"Oci, Lleure, Agrupaments i Centres d'Esplai",Agrupaments i Centres d'Esplai,41.1194288,1.2599149,4314820002,AJUNTAMENT DE TARRAGONA
408.0,AV de la Part Alta de Tarragona,Manel Rovira Olivé,"Plaça Sant Antoni, Edifici La Gavina, s/num. 43003 Tarragona",672846017,avpartalta@gmail.com,PART ALTA,Centre,No,Comunitàries / Cíviques,Associacions de Veïns,41.1183807,1.2604044,4314820002,AJUNTAMENT DE TARRAGONA
413.0,COMISSIÓ DIOCESANA DE MIGRACIÓ,,"PLAÇA PEIXATERIES VELLES,9 43003 TARRAGONA",977242337-877449866,caritas@caritastadtarragona.cat,,Centre,Sí,Cooperació / interacció,D'integració i cohesió,41.1180487,1.259069,4314820002,AJUNTAMENT DE TARRAGONA
473.0,Associació Cultural Gregal de Tarragona,Miquel Fernández Lara,"C/ Pere Martell, núm. 33, Esc. 2, 1er. A  43001 Tarragona",661645104,jemar10@hotmail.com,PART ALTA,Centre,No,Culturals,Corals,41.1178416,1.2592618,4314820002,AJUNTAMENT DE TARRAGONA
